Idx Definition	Portuguese
70 _NN_None_Server	Inexistente
71 _NN_Medal_Of_Guild	Medalha da Guilda
72 _NN_Master	Mestre
73 _NN_EF_CLASS	Classe
74 _NN_EF_LEVEL	Level necessário
75 _NN_EF_REQ_STR	Força necessária
76 _NN_EF_REQ_INT	Inteligência necessária
77 _NN_EF_REQ_DEX	Destreza necessária
78 _NN_EF_REQ_CON	Constituição necessária
79 _NN_EF_DAMAGE	Aumento de Dano
80 _NN_EF_AC	Defesa 
81 _NN_EF_HP	Aumento de HP máximo 
82 _NN_EF_MP	Aumento de MP máximo
83 _NN_EF_HPADD	Índice de aumento de HP máximo
84 _NN_EF_MPADD	Índice de aumento de MP máximo
85 _NN_EF_SAVEMANA	Economia de Mana
86 _NN_EF_CRITICAL	Crítico
87 _NN_EF_REGENHP	Índice de regeneração de HP
88 _NN_EF_REGENMP	Índice de regeneração de MP
89 _NN_EF_RESISTALL	Aumento de Imunidades
90 _NN_EF_RUNSPEED	Aumento da Velocidade de Movimento
91 _NN_EF_RESIST1	Resistência a Fogo
92 _NN_EF_RESIST2	Resistência a Gelo
93 _NN_EF_RESIST3	Resistência a Sagrado
94 _NN_EF_RESIST4	Resistência a Relâmpago
95 _NN_EF_SPECIAL1	Aprender Arma
96 _NN_EF_SPECIAL2	Confiança/Magia Branca/Elemental/Sobrevivência
97 _NN_EF_SPECIAL3	Trans/Magia Negra/Evocação/Troca
98 _NN_EF_SPECIAL4	Espada Mágica/Magia Especial/Natureza/Captura
99 _NN_EF_ATTSPEED	Aumento da Velocidade de Ataque
100 _NN_EF_STR	Força
101 _NN_EF_INT	Inteligência
102 _NN_EF_DEX	Destreza
103 _NN_EF_CON	Constituição
104 _NN_EF_MAGIC	Ataque Mágico
105 _NN_EF_HWORDINDEX	Número de índice exclusivo
106 _NN_Weapon_Mastery	Aprender Arma
107 _NN_Belief	Confiança
108 _NN_Trans	Trans
109 _NN_Magic_Sword	Espada Mágica
110 _NN_Holy_Magic	Magia Branca
111 _NN_Black_Magic	Magia Negra
112 _NN_Special_Magic	Magia Especial
113 _NN_Elemental	Elemental
114 _NN_Summon	Evocação
115 _NN_Nature	Natureza
116 _NN_None	Inexistente
117 _NN_Fire	Fogo
118 _NN_Ice	Gelo
119 _NN_Thunder	Relâmpago
120 _NN_Holy	Sagrado
121 _NN_TransKnight	TransKnight
122 _NN_Foema	Foema
123 _NN_BeastMaster	BeastMaster
124 _NN_Hunter	Huntress
125 _NN_Armia	Armia
126 _NN_Azran	Azran
127 _NN_Noname	Sem nome
128 _NN_EF_INIT1	Reiniciar Confiança/Magia Branca/Elemental/Sobrevivência
129 _NN_EF_INIT2	Reiniciar Trans/Magia Negra/Evocação/Troca
130 _NN_EF_INIT3	Reiniciar Espada Mágica/Magia Especial/Natureza/Captura
131 _NN_ClearSkill	Deseja reiniciar as skills da linhagem da classe? 
132 _NN_GoBilling	Deseja ir para a página de pagamento?
133 _NN_Survival	Sobrevivência
134 _NN_Trading	Troca
135 _NN_Capture	Captura
136 _NN_Input_SaveGold	Insira o valor de gold desejado para armazenar.
137 _NN_Input_ExGold	Insira o valor de gold para troca.
138 _NN_Input_GetGold	Insira o valor de gold desejado para retirar.
139 _NN_Passive_Skill	Skill Passiva
140 _NN_Skill_All	Aumento de Aprendizagem de Skill.
141 _NN_AutoTrade_Name	Insira um nome para a sua loja.
142 _NN_AutoTrade_Coin	Insira o valor dos seus produtos.
143 _NN_Coin_Too_Large	O valor dos seus produtos devem ser menor que %d Gold.
144 _NN_ConfirmBuyItem	Deseja realmente comprar?
145 _NN_SelectTradeItem	Selecione os itens para troca.
146 _NN_Tax	Taxa de Imposto
147 _NN_Input_GuildGold	Insira o valor da aposta para a Guerra entre Guildas.
148 _DN_GetExp	Adquiriu %d de experiência 
149 _SN_CraftGoldPiece	Deseja trocar '%s' de gold 
150 _NN_CraftGoldPiece	Transformar em gold?
151 _NN_CastingDelayDown	Diminua o delay antes de usar a próxima skill.
152 _NN_Running	Deseja continuar?
153 _SS_With	Você aceita o desafio de '%s' para %s 
154 _NN_CnfReqRanking	Aceita participar da Disputa de Ranking?
155 _NN_NotEnoughMoney	Não há gold suficiente.
156 _NN_MustClearParty	Este jogador já foi chamado para o grupo.
157 _NN_PKMode	Modo PvP
158 _NN_Confirm_GuildWar	Declarar guerra?
159 _NN_Confirm_GuildCall	Convocar os membros da Guilda?
160 _NN_WaterElemental	É necessário o Pergaminho da Água para entrar na Zona Elemental da Água. 
161 _NN_FoundTapePlay	Foi detectado forma de jogo ilegal.
162 _NN_EF_INCUBATE	Valor Crítico de Incubação.
163 _NN_EF_MOUNTLIFE	Vitalidade
164 _NN_EF_MOUNTHP	HP
165 _NN_EF_MOUNTSANC	Crescimento
166 _NN_EF_MOUNTFEED	Ração
167 _NN_Level	Level
168 _NN_Dead	Situação: Morto
169 _NN_EF_INCUDELAY	Tempo de Espera para Incubação
170 _NN_CanIncubate	Situação: Possível de Incubar
171 _NN_EF_MOUNTKILL	EX
172 _NN_RunningMode	Modo Corrida
173 _NN_Erion	Erion
174 _NN_EF_PARRY	Índice de Evasão
175 _NN_CheckTicket	Registrar Ticket?
176 _NN_Number	Número
177 _NN_Title	Título
178 _NN_Writer	Autor
179 _NN_Hits	Visitas
180 _NN_Date	Data
181 _NN_BoardList	http://www.wyd.com.br/forum_guild/guildbbs_list3
182 _NN_BoardView	http://www.wyd.com.br/forum_guild/guildbbs_view3
183 _NN_BoardReply	http://www.wyd.com.br/forum_guild/guildbbs_reply3
184 _NN_BoardModify	http://www.wyd.com.br/forum_guild/guildbbs_modify3
185 _NN_BoardWrite	http://www.wyd.com.br/forum_guild/guildbbs_write3
186 _NN_BoardDelete	http://www.wyd.com.br/forum_guild/guildbbs_delete3
187 _NN_CannotReply	Apenas 10 comentários permitidos.
188 _NN_CannotWrite	Falha ao armazenar.
189 _NN_CannotDelete	Impossível excluir.
190 _NN_CannotRead	Não foi possível trazer informações.
191 _NN_GuildBoard	/guildaforum
192 _NN_MustOverSanc9	Item para composição deve ser pelo menos +9.
193 _NN_MustCombineStone	É necessário equipar a Pedra do Sábio.
194 _NN_MustOverSanc7	Os ingredientes para compor precisam ser itens ao menos +7.
195 _DN_DropInc	Aumento de %d%% na Taxa de Drop.
196 _NN_Damage	Dano de Perfuração.
197 _DN_ExpInc	Aumento de %d%% de Experiência.
198 _NN_DamGet	Absorver Dano.
199 _NN_GuildsURL	http://www.wyd.com.br/wyd_br/update_regular/guilds.txt
200 _NN_CharTransper	Ir para o Servidor Principal?
201 _SN_TransperOK	%s' foi movido para o Servidor Principal.
202 _SN_SameName	Existe o mesmo nome no Servidor Principal.
203 _NN_NoSpaceInServer	Você já possui 4 personagens no Servidor Principal. 
204 _NN_UnknownError	Erro desconhecido.
205 _NN_InTServer	Este usuário já está conectado no Servidor Principal.
206 _NN_Requsting	Enviando pedido ao servidor.
207 _NN_TeleportCost	A taxa de transferência é de %d Gold.
208 _SN_Teleport	Ir para '%s'?
209 _NN_Noatun	Reino de Noatun
210 _NN_NoatunOutCastle	Campo fora do Castelo de Noatun
211 _NN_AzranField	Campo Azran
212 _NN_Dungeon	Calabouço
213 _NN_ArmiaField	Campo Armia
214 _NN_Dungeon1F	Calabouço 1º Andar
215 _NN_Dungeon2F	Calabouço 2º Andar
216 _NN_Dungeon3F	Calabouço 3º Andar
217 _NN_LookGuildWar	Assistir a Guerra entre Guildas.
218 _NN_UnderWorld	Submundo
219 _NN_UnderWorld1F	Submundo 1º Andar
220 _NN_UnderWorld2F	Submundo 2º Andar
221 _NN_Confirm_GuildAlly	Deseja realizar a Aliança entre as Guildas?
222 _DN_RemainTown	Será transferido para a cidade após %d segundos.
223 _DN_RemainTeleport	Será teleportado após %d segundos.
224 _DN_RemainQuit	O Jogo será finalizado após %d segundos.
225 _DN_RemainSelChar	Será enviado para a tela de seleção de personagem após %d segundos.
226 _SN_FromMemo	Mensagem enviada pelo jogador %s.
227 _NN_Resurrect	Deseja Ressuscitar?
228 _NN_SummonFrom	Aceita ser convocado por %s?
229 _NN_WantSummon	Você aceita?
230 _NN_MonsterLeft	 1 2 3 4 5 
231 _NN_SpentAll	Gasto de Mana: Total
232 _NN_AutoRunMode	Modo Corrida Auto
233 _NN_SoulStone	Deseja compor a Pedra da Alma?
234 _NN_Relocation	Transportar
235 _NN_NotUseTest	Possível conectar apenas no Servidor de Teste.
236 _NN_NotUseMain	Possível conectar apenas nos Servidores Oficiais.
237 _NN_Information	Informação
238 _NN_Confirm	Confirmar
239 _NN_Cancel	Cancelar
240 _NN_BugReportURL	http://www.wyd.com.br
241 _NN_BringSephiroth	Pergunte ao Mestre de Skills, componha Sephiroth e traga para mim.
242 _NN_Special01	Aprender Arma
243 _NN_Special02	Confiança
244 _NN_Special03	Trans
245 _NN_Special04	Espada Mágica
246 _NN_Special11	Aprender Arma
247 _NN_Special12	Magia Branca
248 _NN_Special13	Magia Negra
249 _NN_Special14	Magia Especial
250 _NN_Special21	Aprender Arma
251 _NN_Special22	Elemental
252 _NN_Special23	Evocação
253 _NN_Special24	Natureza
254 _NN_Special31	Aprender Arma
255 _NN_Special32	Sobrevivência
256 _NN_Special33	Troca
257 _NN_Special34	Captura
258 _NN_InviteOK	É necessário o convite para entrar no Cubo da Maldade.
259 _NN_Guild	Guilda
260 _NN_Quiz	Quiz
261 _NN_MustMergeStone	É necessário equipar pedras refinadas.
262 _NN_MustSameName	Os dois items para compor precisam possuir o mesmo nome.
263 _NN_Cash_URL	http://www.wyd.com.br
264 _NN_LottoCost	Valor de venda_%d_Gold
265 _NN_FillBlank	Complete os números.
266 _NN_Already_Num	Você já escolheu este número.
267 _NN_LottoNum	Número da Loto
268 _NN_LottoCount	É o Loto da semana %d.
269 _NN_WebShopURL	http://www.wyd.com.br/itemmall/goods_login.asp
270 _NN_BackToGame	Sair
271 _NN_NoSupport	A loja não é exibida na Baixa Resolução.
272 _NN_MustGlittering	São necessárias 4 unidades da Pedra da Luz.
273 _NN_MustTransItem	Coloque os itens exclusivos para Archs.
274 _NN_EquipItem	Coloque os itens necessários para a composição.
275 _NN_MustOverCasting	Coloque items da linha Anã, Conjuradora, Aeon, Natureza ou superior.
276 _NN_NotMatchParts	Parte inadequada.
277 _NN_MustJewel	Coloque as jóias.
278 _NN_NoEmptyCargo	Necessita de mais espaço no inventário.
279 _NN_ClearCookie	http://www.wyd.com.br
280 _NN_BeAdmit	Entrada Permitida.
281 _NN_RefuseAdmission	Entrada NÃO Permitida.
282 _NN_HundredMillion	%d centenas de milhões
283 _NN_TenThousand	%d0 000
284 _NN_Gold	Gold
285 _NN_NoTransformation	Utilize após remover ovos ou montarias.
286 _NN_NoReturnof	Para utilizar o Retorno da Habilidade, fale com o Mestre Haby (Armia).
287 _NN_ServerRebootDay	2
288 _NN_ServerRebootTime	5
289 _NN_PartyOut	Deseja expulsar o %s do grupo?
290 _NN_ADULT	Servidor exclusivo para maiores de 18 anos.
291 _NN_LastDay	 %d Dia(s)
292 _NN_LastHour	 %d Horas(s)
293 _NN_LastMin	 %d Min(s)
294 _NN_MONSTER	Monstro
295 _NN_MustSanc9	Para compor um item, deve utilizar um item +9 ou superior.
296 _NN_LastMonth	Mês %d
297 _NN_LastYear	Ano %d
298 _NN_LastHour2	Hora %d
299 _NN_MountEndTime	Validade
300 _NN_QuestOn	100000000 EXP serão descontados. Deseja prosseguir?
301 _NN_SnowField	Campo Nipleheim
302 _NN_MustAcientItem	Deve equipar o item Ancient
303 _NN_CannotRefine	Item Inadequado.
304 _DN_FAKEEXP	C. POINT %14d / %d%%
305 _DN_DropFakeExp	%d C.POINT foram reduzidos.
306 _NN_OneMoreMix	Um item composto pode ser composto novamente.
307 _NN_NewQuest	Nova Quest
308 _NN_ItemOption	Poderá visualizar os efeitos da combinação estimada através da janela de previsão.
309 _NN_Notrade	Impossível de trocar ou comercializar o item.
310 _NN_PotalPos1	Localização do Portal [Armia, Azran]
311 _NN_PotalPos2	Localização do Portal [Submundo]
312 _NN_PotalPos3	Localização do Portal [Portão Infernal]
313 _NN_PotalPos4	Localização do Portal [Deserto de Kult]
314 _NN_PotalPos5	Localização do Portal [Kefra]
315 _NN_PotalPos6	Localização do Portal [Nipleheim]
316 _NN_NeedSilverBrick	Necessita da Barra de Prata (1Bi)
317 _NN_NeedSealBook	É necessário o Pergaminho Selado.
318 _NN_NeedDragonGod	É necessário a Poeira de Lactolerium.
319 _NN_SureMix	Deseja realmente compor?
320 _NN_NeedSpritStone	É necessário a Pedra Espiritual.
321 _NN_Karden	Karden
322 _NN_HiddenPlace	Calabouço Abandonado
323 _NN_TR2TR	TK-TK
324 _NN_TR2FO	TK-FO
325 _NN_TR2BM	TK-BM
326 _NN_TR2HT	TK-HT
327 _NN_FO2TR	FO-TK
328 _NN_FO2FO	FO-FO
329 _NN_FO2BM	FO-BM
330 _NN_FO2HT	FO-HT
331 _NN_BM2TR	BM-TK
332 _NN_BM2FO	BM-FO
333 _NN_BM2BM	BM-BM
334 _NN_BM2HT	BM-HT
335 _NN_HT2TR	HT-TR
336 _NN_HT2FO	HT-FO
337 _NN_HT2BM	HT-BM
338 _NN_HT2HT	HT-HT
339 _NN_InputByEngNum	Por favor insira o nome do personagem utilizando letras ou números.
340 _NN_CannotSell	Não pode ser vendido.
341 _NN_WYDTalk	http://www.wyd.com.br
342 _SN_SellItem	'%s'
343 _NN_SellItem	Deseja realmente vender o item?
344 _NN_Warning01	Longos períodos de jogo pode ser prejudicial à saúde.
345 _NN_Warning02	Sempre descanse após longos períodos de jogo.
346 _DN_OverTime	%d horas de jogo se passaram.
347 _DN_TakeRest	%d horas de jogo se passaram. Descanse um pouco.
348 _NN_ReduceKill	Serão reduzidos 100 Pontos PK. Deseja prosseguir com a Quest?
349 _NN_InputCharName	Insira o nome do personagem.
350 _NN_SealChar	Você deseja travar seu personagem?
351 _NN_TotoNum	Contador do jogo
352 _NN_TotoTime	Data do jogo
353 _NN_TotoScore	Placar do jogo
354 _NN_NeedRuneWord	Coloque a Letra Rúnica ou Poeira de Lactolerium a ser combinada.
355 _NN_CombineCost	Custo da Combinação
356 _NN_SureChangeClass	Prosseguir para a segunda mudança de Classe?
357 _NN_Need8stSkill	A 8ª Skill é necessária para a utilização desta Skill.
358 _NN_DoQuestCount	A Quest Descoberta dos 4 cristais esta em andamento.
359 _NN_MustNormalItem	Você tem que equipar itens normais.
360 _NN_MustMagicPower	Você precisa equipar a Essência do Poder Mágico. 
361 _NN_MustSameJewel	Você precisa equipar o mesmo tipo de jóia.
362 _NN_InviteGuildMember	Você quer se registrar como membro da Guilda %s?
363 _NN_InputChiefGuildName	Digite o nome do Líder da Guilda.
364 _NN_AlreadyHaveGuild	Esse usuário já entrou na Guilda.
365 _NN_AlreadyHaveOtherGuild	Esse usuário já entrou em uma outra Guilda.
366 _NN_AlreadyChief	Esse usuário já é Chefe de Guilda.
367 _NN_NoHaveGuild	Esse jogador ainda não faz parte de nenhuma guilda.
368 _NN_MustEquipMount	Você tem que equipar montarias normais.
369 _NN_MustDeadMount	A montaria tem que estar morta.
370 _NN_CanNotCreateGuild	Não pode criar Guilda.
371 _NN_CanNotCreateSubGuild	Não pode criar Sub-Guilda.
372 _NN_CanNotHandOverGuild	Não pode sair da Guilda.
373 _NN_CanNotWithdrawal	Não pode transferir Guilda.
374 _NN_TryServerWar	Qual canal deseja declarar Guerra?
375 _NN_TryRefuseServerWar	Qual canal deseja recusar o pedido de Guerra?
376 _NN_CanNotRegisterSkill	Skill não disponível para registro.
377 _NN_GuildmarkURL	http://www.wyd.com.br/guilds/img_guilds/
378 _NN_AirMoveSubject	Rota de Viagem
379 _NN_AirMovePlace	Local de Viagem
380 _NN_AirMoveXY	Coordenada de Viagem
381 _NN_AirMoveCost	Custo da Utilização
382 _NN_PortalField	[Nome do Campo]
383 _NN_PortalPlace	Localização do Portal
384 _NN_PortalXY	Coordenada do Portal
385 _DN_MileagePrice	Mileage : %d
386 _NN_CreateGuild	criar
387 _NN_HandoverGuild	transferir
388 _NN_ExpelGuild	expulsar
389 _NN_Spk	gritar
390 _NN_WarStatus	sitguerra
391 _NN_Waiver	fimcidadao
392 _ND_PLAYTIME_1	Já se passaram %d horas desde o seu Login.
393 _ND_PLAYTIME_2	Após sair do jogo, procure descansar ou praticar esportes.
394 _ND_PLAYTIME_3	Você está conectado por um tempo, não exceda seu limite.
395 _ND_PLAYTIME_4	A partir de agora receberá apenas 50% de chance de taxa.
396 _ND_PLAYTIME_5	Para a sua saúde, recomendamos que saia do jogo e descanse por 1 hora.
397 _ND_PLAYTIME_6	Procure fazer outras atividades mais saudáveis.
398 _ND_PLAYTIME_7	Você está conectado por muito tempo, excedendo o tempo de jogo.
399 _ND_PLAYTIME_8	Após sair do jogo, procure descansar.
400 _ND_PLAYTIME_9	Caso continue jogando, poderá prejudicar a sua saúde.
401 _ND_PLAYTIME_10	A taxa foi reduzida em 0% devido ao excesso de jogo.
402 _ND_PLAYTIME_11	Para jogar normalmente, permaneça algumas horas desconectado.
403 _NN_CHINA_UID_URL	http://wyd.ongame.com.br
404 _NN_CITYZEN	Deseja se tornar cidadão deste canal?
405 _NN_itemlockPass	Por favor insira sua senha.
406 _NN_ConnectUser	-
407 _NN_GuildChallenge	Quando desafiar Guerra entre Guildas, Fama será reduzida, deseja continuar?
408 _NN_InputItemAmount	Quantos deseja separar?
409 _NN_OnyNumber	Quantidade incorreta.
410 _NN_AmunlaStart	Ingredientes de Amunra são necessários.
411 _NN_MustTransAmunlaStone	Pedra Amunra deve ser anexada.
412 _NN_NeedItem	Itens insuficientes.
413 _NN_WantNumber	Quantidade insuficiente.
414 _NN_WantCost	Gold insuficiente.
415 _NN_IsNotLev	Não possui o nível adequado.
416 _NN_IsNotClass	Classe Inadequada.
417 _NN_MissionPepl	Por ordem de chegada:
418 _NN_MissionLev	Limite de Nível:
419 _NN_MissionClass	Missão de Classe:
420 _NN_MissionClass0	Mortal
421 _NN_MissionClass1	Arch
422 _NN_MissionClass2	Celestial
423 _NN_MissionCost	Gold necessário: 
424 _NN_MissionFame	Fama necessária:
425 _NN_MissionRItem	Recompensa: 
426 _NN_MissionNum	Peça
427 _NN_MissionRCost	Custo da Recompensa: 
428 _NN_MissionRExp	EXP da Recompensa: 
429 _NN_MissionROption	Opções
430 _NN_MissionRSanc1	Junção
431 _NN_MissionRSanc2	Aumento
432 _NN_MissionJewal	Jóia
433 _NN_MissionItem	Item
434 _NN_MissonNeedItemList	Escolha uma Item disponível.
435 _NN_MissonFame	Fama
436 _NN_MissonGuildFame	Fama de Guilda
437 _NN_FameDrop	Fama de Guilda foi reduzida, drop aumentará em 10%.
438 _NN_GetInItem	%s' é necessário.
439 _NN_PVP_ATTACK	Ataque PvP : %d.%d%%
440 _NN_PVP_Defens	Defesa PvP : %d.%d%%
441 _NN_MIX_23	Pedra Amunra +9 ou superior
446 _NN_ON	ATIVADO
447 _NN_OFF	DESATIVADO
448 _NN_Wisper	Sussurro: 
449 _NN_Citizen_Chatting	Chat Cidadania :
450 _NN_Guild_Chatting	Chat Guilda / Convidar :
451 _NN_Kingdom_Chatting	Chat Reino :
452 _NN_Nomal_Chatting	Chat Normal :
453 _NN_MIX_1	Safira
454 _NN_MIX_2	Item +9 ou superior
455 _NN_MIX_3	Runa
456 _NN_MIX_4	Poeira de Lac
457 _NN_MIX_5	Acessório +9 ou superior
458 _NN_MIX_6	Pedra Espiritual +9 ou superior
459 _NN_MIX_7	Selo Mágico
460 _NN_MIX_8	Refinação Abençoada
461 _NN_MIX_9	Jóia
462 _NN_MIX_10	Pedra da Luz
463 _NN_MIX_11	Item Arch +9 ou superior
464 _NN_MIX_12	Itens +7 ou superior
465 _NN_MIX_13	Pedra Espiritual
466 _NN_MIX_14	Item selado +9 ou superior
467 _NN_MIX_15	Item Arch +15
468 _NN_MIX_16	Jóia da Escuridão / Pedra Lunar
469 _NN_MIX_17	Pergaminho Selado
470 _NN_MIX_18	Selo do Guerreiro
471 _NN_MIX_19	Pedra Espiritual +9 ou superior
472 _NN_MIX_20	Item +11 ou superior
473 _NN_MIX_20	Pedra Secreta
474 _NN_MIX_21	Lactolerium / Pingente
475 _NN_MIX_22	Pedra Secreta/ Refinação Abençoada
476 _NN_CCMODE1	Modo Auto HP/MP(%d%%) / Montaria(%d%%) 
477 _NN_CCMODE2	Modo Auto Montaria [Desligado]
478 _NN_CCMODE3	Modo Auto Montaria %d%%
479 _NN_CCMODE4	Modo Auto Regen HP/MP [Desligado]
480 _NN_CCMODE5	Modo Auto Regen HP/MP %d%%
481 _NN_POISON	Veneno
482 _NN_MOUNT	Montaria
483 _SS_COSTUME	%s (Traje: %s)
484 _SN_MOUNT	Traje de Montaria
485 _NN_Kingdom	Campo de Guerra de Reino
486 _DN_UndoCost	Preço de Custo : %d
487 _DN_OverTime2	Fama : %d
488 _NN_Join_Admin_Guild	Tem certeza que quer se juntar à Guilda?
489 _NN_IsAuctionedOff	Quais foram os itens vendidos?
490 _DN_SHUTDOWN	Jogo será encerrado em %d min. Saia do jogo pra salvar o seu progresso.
491 _NN_SHUTDOWN1	Desligamento forçado.
492 _NN_SHUTDOWN2	Mudou-se para um local seguro antes de 00h00, por favor, saia.
493 _DN_OverTime2	O excesso de jogo é prejudicial à saúde.
496 _NN_ITEM_LOCK	bloquear
497 _NN_ITEM_UNLOCK	desbloquear
1001 _NN_Get_Skill_Point	Quest: Seu ponto de skill aumentou por 9.
1002 _NN_Weapon_Enchanted	Quest: Sua arma foi aprimorada.
1003 _NN_Get_Watching_Town_Mission	Quest: Você possui uma missão de guarda.
1004 _NN_Watching_Town_Success	Quest: Você aprova a proteção da cidade.
1005 _NN_Watching_Town_Awarded	Quest: Você ganhou um amuleto único como recompensa.
1006 _NN_Qest06Complete	Quest: Você completou a "Quest da Cythera Divina".
1007 _NN_Qest07Complete	Quest: Você completou a "Quest 7".
1008 _NN_Qest08Complete	Quest: Você completou a "Quest 8".
1009 _NN_Qest09Complete	Quest: Você completou a "Quest 9".
1010 _NN_Qest10Complete	Quest: Você completou a "Quest 10".
1011 _NN_Qest11Complete	Quest: Você completou a "Quest 11".
1012 _NN_Qest12Complete	Quest: Você completou a "Quest 12".
1013 _NN_Qest13Complete	Quest: Você completou a "Quest 13".
1014 _NN_Qest14Complete	Quest: Você completou a "Quest 14".
1015 _NN_Qest15Complete	Quest: Você completou a "Quest 15".
1016 _NN_Qest16Complete	Quest: Você completou a "Quest 16".
1017 _NN_ServerRebootAfter_1minute	AVISO: Servidor será reiniciado após 1 minuto.
1018 _NN_Rerun_Game_For_Auto_Patch	AVISO: Para salvar seu progresso é recomendável sair do jogo.
1019 _NN_ServerReboot_After_30Sec	AVISO: Reinicialização em 30 segundos.
1020 _NN_ServerReboot_Takes_10min	AVISO: Reinicialização em 20 segundos.
1021 _NN_ServerReboot_After_10Sec	AVISO: Reinicialização em 10 segundos.
1022 _NN_ServerReboot_Now	AVISO: Reiniciando...
1023 _NN_Bad_Network_Packets	Rede está instável. Saindo do jogo.
1024 _NN_Only_Guild_Master_can	Somente o mestre de guilda pode desafiar para uma guerra de guildas.
1025 _NN_Champions_Cant_Challange	Dono da zona de guilda não pode desafiar a si mesmo.
1026 _NN_Last_Challange_Cant	Desafiante da última semana não pode ser aplicado.
1027 _NN_Allready_Challanged	Você já está aplicado numa guerra de guildas.
1028 _NN_Cant_Get_More_Challanger	Esta cidade não pode mais aceitar desafios.
1029 _NN_Need_Sign_Of_Challanger	Você precisa do Cupom do Desafiante para aplicar para uma guerra de guildas.
1030 _NN_Challanged	A candidatura da Guilda será recebida às 00h00.
1031 _NN_Cant_Create_More_Summons	Não é mais possível convocar.
